,location,food,price,time,vegan,vegetarian,gluten,dairy,eggs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
,Davis Cafe,Southern Egg & Cheese Bagel,4.69,B,N,Y,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Egg & Cheese Biscuit,4.69,B,Y,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Bacon & Egg Bagel,4.69,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Bacon & Egg Biscuit,4.69,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Bacon & Egg & Cheese Bagel,4.69,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Bacon & Egg & Cheese Biscuit,4.69,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,bacon cured with water,natural smoke flavor,sodium phosphate,sodium erythorbate,sodium nitrite,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Sausage & Egg & Cheese Bagel,4.69,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,pork,contains 2% or less of: salt,spices,sodium phosphate,monosodium glutamate,caramel color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Sausage & Egg & Cheese Biscuit,4.69,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,pork,contains 2% or less of: salt,spices,sodium phosphate,monosodium glutamate,caramel color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Turkey Sausage & Egg & Cheese Bagel,4.69,B,N,N,N,Y,Y,enriched wheat flour (wheat flour,malted barley flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),water,salt,sugar,yeast,fermented rye flour,yellow cornmeal,wheat gluten,calcium propionate (preservative),modified cornstarch,enzymes (dough conditioner),sesame flour,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,precooked tky sausage 1.5 oz: ingredients: turkey,contains 2 or less seasoning salt,spices,dextrose,natural flavor,bha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Southern Turkey Sausage & Egg & Cheese Biscuit,4.69,B,N,N,N,Y,Y,unbleached wheat flour,cultured buttermilk (skim milk,nonfat dry milk,cultures added),water,butter (sweet cream,natural flavor),palm oil,contains less than 2%: baking soda,salt,sugar,sodium acid pyrophosphate,sodium aluminum phosphate,monocalcium phosphate,soybean oil,wheat starch,natural flavor,egg,milk,cream,sodium citrate,cheese culture,sorbic acid (preservative),citric acid,enzymes,soy lecithin,color added,precooked tky sausage 1.5 oz: ingredients: turkey,contains 2 or less seasoning salt,spices,dextrose,bha,bht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
